AA	 2.7200	 2.8100	 2.4800	 2.5300	 2.7300	 2.7600	 2.7900	 2.7700	 2.8900	 2.9600
KK	 1.9000	 1.7300	 1.7200	 1.7000	 1.5900	 1.9000	 2.0100	 1.9700	 1.9400	 2.0900
QQ	 1.1800	 1.2200	 1.2800	 1.2100	 1.2100	 1.2200	 1.2400	 1.2200	 1.4900	 1.3600
JJ	 0.6700	 0.6300	 0.8300	 0.6600	 0.8600	 0.7600	 0.9100	 1.0100	 1.0100	 0.8900
TT	 0.3800	 0.3700	 0.4300	 0.5200	 0.4500	 0.4200	 0.4600	 0.5400	 0.5000	 0.5600
99	 0.1800	 0.1600	 0.3100	 0.1500	 0.3100	 0.3500	 0.2500	 0.2700	 0.2700	 0.2300
88	 0.1000	 0.0700	 0.2100	 0.0900	 0.1400	 0.1900	 0.1500	 0.2600	 0.2300	 0.2600
77	 -0.0600	 -0.0100	 0.0300	 0.1100	 0.0700	 0.1400	 0.1100	 0.1900	 0.1600	 0.1500
66	 -0.0100	 -0.0600	 -0.0200	 0.0800	 0.2000	 0.1300	 0.0500	 -0.0200	 0.0600	 0.1300
55	 -0.0200	 -0.1200	 0.0100	 -0.0200	 -0.0400	 -0.0200	 0.0000	 -0.0400	 0.0100	 0.0800
44	 0.0500	 -0.1000	 -0.0800	 -0.0600	 -0.0100	 0.1000	 0.0200	 0.0200	 -0.0600	 -0.0300
33	 -0.1000	 -0.1600	 -0.0700	 -0.0400	 -0.0100	 -0.0500	 -0.0100	 0.0600	 -0.0400	 0.0300
22	 -0.1200	 -0.1000	 -0.1200	 -0.0300	 -0.0400	 0.0200	 0.0200	 -0.0500	 0.0000	 -0.1200
AK	 0.4200	 0.4200	 0.4800	 0.4200	 0.5500	 0.5000	 0.5000	 0.5700	 0.5900	 0.6100
AK s	 0.6800	 0.7800	 0.7900	 0.9000	 0.8300	 0.8200	 0.8600	 0.8200	 1.0100	 0.9900
AQ	 0.1800	 0.1700	 0.2100	 0.3000	 0.2100	 0.3100	 0.2600	 0.3300	 0.3000	 0.3700
AQ s	 0.5700	 0.5100	 0.5100	 0.6000	 0.5300	 0.5000	 0.7000	 0.6500	 0.6400	 0.6400
AJ	 0.0300	 0.1000	 0.0300	 0.1000	 0.1000	 0.0700	 0.1500	 0.0900	 0.1900	 0.1500
AJ s	 0.4100	 0.2500	 0.2700	 0.4100	 0.4000	 0.4400	 0.5100	 0.5100	 0.5400	 0.4900
AT	 -0.0800	 -0.0400	 -0.0700	 -0.0200	 0.0200	 0.0100	 0.0000	 0.0300	 0.0000	 0.0600
AT s	 0.1900	 0.2300	 0.2800	 0.2400	 0.2500	 0.4000	 0.2800	 0.2600	 0.3100	 0.4600
A9	 -0.2200	 -0.1900	 -0.0800	 -0.1100	 -0.1300	 -0.0700	 -0.0900	 -0.1200	 -0.1000	 -0.0300
A9 s	 0.1600	 0.0500	 0.2300	 0.0700	 0.1300	 0.1200	 0.2000	 0.1900	 0.1900	 0.1900
A8	 -0.2100	 -0.2800	 -0.1800	 -0.0800	 -0.1100	 -0.0900	 -0.0800	 -0.1600	 -0.0600	 -0.0900
A8 s	 -0.0100	 -0.1100	 0.1200	 0.0300	 0.1700	 0.0600	 0.0800	 0.0100	 0.1000	 0.1400
A7	 -0.2200	 -0.2500	 -0.1500	 -0.1200	 -0.1100	 -0.1100	 -0.1500	 -0.1100	 -0.1000	 -0.0600
A7 s	 -0.0700	 -0.0600	 0.0300	 0.1200	 -0.0100	 0.1000	 0.2500	 0.1000	 0.0100	 0.0800
A6	 -0.2900	 -0.2800	 -0.1800	 -0.1500	 -0.1200	 -0.1100	 -0.1300	 -0.1000	 -0.1300	 -0.0900
A6 s	 0.0100	 -0.1500	 -0.1300	 0.0400	 -0.0300	 0.0000	 0.0500	 -0.0200	 0.0000	 -0.0100
A5	 -0.2600	 -0.3000	 -0.1200	 -0.1500	 -0.1200	 -0.1500	 -0.1200	 -0.1100	 -0.0800	 -0.1300
A5 s	 0.1100	 0.0100	 0.0900	 0.0700	 0.0000	 0.0800	 0.0200	 0.0100	 0.2000	 0.1600
A4	 -0.2700	 -0.3000	 -0.1300	 -0.1000	 -0.1500	 -0.1300	 -0.0800	 -0.1000	 -0.1000	 -0.1000
A4 s	 -0.0300	 -0.0500	 0.0200	 0.0300	 0.0700	 0.0500	 0.1800	 0.0300	 0.1600	 0.0800
A3	 -0.2800	 -0.3400	 -0.1700	 -0.1100	 -0.1200	 -0.1200	 -0.0900	 -0.1100	 -0.1200	 -0.1000
A3 s	 -0.1200	 0.0200	 -0.0600	 0.0600	 0.1100	 -0.0900	 -0.0700	 0.1100	 0.0000	 0.0500
A2	 -0.2700	 -0.3500	 -0.1600	 -0.1400	 -0.1600	 -0.1400	 -0.1200	 -0.0900	 -0.0600	 -0.1400
A2 s	 -0.1200	 -0.1300	 -0.0100	 -0.0400	 0.0600	 0.0300	 0.0300	 -0.1000	 0.0000	 0.1100
KQ	 0.0300	 0.0000	 0.0600	 0.1500	 0.0800	 0.0900	 0.1300	 0.1400	 0.1500	 0.1700
KQ s	 0.3600	 0.1700	 0.4000	 0.3100	 0.3600	 0.3100	 0.4200	 0.4500	 0.4000	 0.4200
KJ	 -0.0800	 -0.1700	 -0.0300	 -0.0200	 -0.0300	 -0.0400	 0.0500	 0.0100	 0.0900	 0.0600
KJ s	 0.1700	 0.1200	 0.1300	 0.2700	 0.3200	 0.2300	 0.2400	 0.2900	 0.2900	 0.4000
KT	 -0.2000	 -0.1600	 -0.0700	 -0.0900	 -0.0600	 -0.0600	 -0.0600	 -0.0400	 0.0000	 0.0700
KT s	 0.1500	 0.0300	 0.1100	 0.1900	 0.1500	 0.1000	 0.2700	 0.0600	 0.0900	 0.3100
K9	 -0.2600	 -0.2200	 -0.1300	 -0.1000	 -0.0900	 -0.1000	 -0.0800	 -0.1000	 -0.0600	 -0.0500
K9 s	 -0.0700	 -0.0200	 -0.0600	 0.0400	 0.1300	 0.0300	 0.0200	 0.0700	 0.0900	 0.0200
K8	 -0.2700	 -0.2800	 -0.1300	 -0.1000	 -0.0900	 -0.0600	 -0.0800	 -0.0700	 -0.0600	 -0.0800
K8 s	 -0.0800	 -0.1200	 -0.0400	 -0.0200	 -0.0300	 0.0000	 -0.0900	 0.0700	 0.0000	 0.0100
K7	 -0.2600	 -0.3200	 -0.1300	 -0.0900	 -0.0700	 -0.0700	 -0.0800	 -0.0600	 -0.0500	 -0.0400
K7 s	 -0.0700	 -0.1200	 -0.0900	 -0.0300	 0.1200	 -0.0400	 -0.0400	 -0.0400	 0.0300	 0.0000
K6	 -0.2700	 -0.3200	 -0.1000	 -0.0500	 -0.0700	 -0.0600	 -0.0700	 -0.0600	 -0.0600	 -0.0600
K6 s	 -0.1700	 -0.1700	 -0.1100	 0.0300	 -0.0300	 -0.0800	 -0.0600	 0.0700	 0.0100	 -0.0300
K5	 -0.2900	 -0.3400	 -0.1100	 -0.0800	 -0.0700	 -0.0900	 -0.0700	 -0.0700	 -0.0900	 -0.0300
K5 s	 -0.2100	 -0.1300	 -0.0600	 -0.0400	 -0.0600	 -0.0100	 0.0100	 -0.0800	 0.0200	 0.0100
K4	 -0.3000	 -0.3700	 -0.1100	 -0.0800	 -0.0700	 -0.0600	 -0.0800	 -0.0700	 -0.0600	 0.0100
