AA	 1.1600	 1.1300
KK	 0.9800	 0.9500
QQ	 0.8800	 0.8500
JJ	 0.6800	 0.7300
TT	 0.6300	 0.6300
99	 0.5300	 0.4700
88	 0.3600	 0.4000
77	 0.3000	 0.3000
66	 0.2100	 0.2200
55	 0.0800	 0.1300
44	 0.0400	 0.0700
33	 -0.0200	 0.0200
22	 -0.1200	 -0.0100
AK	 0.3400	 0.3800
AK s	 0.4600	 0.4700
AQ	 0.2800	 0.3300
AQ s	 0.4000	 0.4300
AJ	 0.2400	 0.2800
AJ s	 0.3400	 0.3400
AT	 0.1900	 0.2100
AT s	 0.2900	 0.3000
A9	 0.1000	 0.1400
A9 s	 0.2500	 0.3000
A8	 0.1100	 0.1100
A8 s	 0.1700	 0.2100
A7	 0.0100	 0.0900
A7 s	 0.1800	 0.1500
A6	 -0.0200	 0.0700
A6 s	 0.1300	 0.1900
A5	 -0.0200	 0.0500
A5 s	 0.1300	 0.1400
A4	 -0.0200	 0.0300
A4 s	 0.1300	 0.1500
A3	 -0.0500	 0.0000
A3 s	 0.1200	 0.1600
A2	 -0.0900	 -0.0100
A2 s	 0.0700	 0.0900
KQ	 0.1700	 0.2000
KQ s	 0.3000	 0.3700
KJ	 0.1500	 0.1900
KJ s	 0.2500	 0.2500
KT	 0.1000	 0.1400
KT s	 0.2500	 0.2800
K9	 0.0300	 0.0800
K9 s	 0.1300	 0.1500
K8	 -0.0700	 0.0100
K8 s	 0.0900	 0.1000
K7	 -0.1000	 -0.0200
K7 s	 0.0600	 0.0600
K6	 -0.1100	 -0.0100
K6 s	 0.0500	 0.0500
K5	 -0.1300	 -0.0400
K5 s	 0.0200	 0.0800
K4	 -0.1800	 -0.0400
K4 s	 -0.0100	 0.0500
K3	 -0.1600	 -0.0700
K3 s	 -0.0500	 0.0200
K2	 -0.1900	 -0.0900
K2 s	 -0.0500	 0.0100
QJ	 0.1600	 0.1100
QJ s	 0.1600	 0.2400
QT	 0.0700	 0.0900
QT s	 0.1900	 0.2000
Q9	 -0.0200	 0.0200
Q9 s	 0.0300	 0.1600
Q8	 -0.0800	 -0.0400
Q8 s	 0.0400	 0.1100
Q7	 -0.1200	 -0.0500
Q7 s	 0.0000	 0.0300
Q6	 -0.1300	 -0.0700
Q6 s	 -0.0200	 0.0000
Q5	 -0.1800	 -0.0900
Q5 s	 0.0000	 0.0400
Q4	 -0.2000	 -0.1000
Q4 s	 -0.0400	 -0.0300
Q3	 -0.1900	 -0.1100
Q3 s	 -0.1000	 0.0000
Q2	 -0.2300	 -0.1100
Q2 s	 -0.1600	 -0.0100
JT	 0.0700	 0.0900
JT s	 0.1800	 0.1500
J9	 -0.0100	 0.0300
J9 s	 0.1300	 0.1200
J8	 -0.0600	 -0.0100
J8 s	 0.0300	 0.1200
J7	 -0.1100	 -0.0700
J7 s	 0.0100	 0.0700
J6	 -0.1600	 -0.1100
J6 s	 -0.0900	 -0.0100
J5	 -0.1900	 -0.0800
J5 s	 -0.1100	 -0.0100
J4	 -0.2200	 -0.1100
J4 s	 -0.1500	 -0.0100
J3	 -0.2100	 -0.1200
J3 s	 -0.1000	 -0.0700
J2	 -0.2200	 -0.1300
J2 s	 -0.1400	 -0.0800
T9	 0.0200	 0.0300
T9 s	 0.1700	 0.1200
T8	 -0.0600	 -0.0300
T8 s	 0.0300	 0.1200
T7	 -0.1600	 -0.0600
T7 s	 -0.0300	 0.0400
T6	 -0.1900	 -0.1000
T6 s	 -0.0800	 -0.0400
T5	 -0.2000	 -0.1100
T5 s	 -0.1400	 -0.0400
T4	 -0.2300	 -0.1300
T4 s	 -0.1600	 -0.0700
T3	 -0.2500	 -0.1400
T3 s	 -0.1600	 -0.0900
T2	 -0.2300	 -0.1500
T2 s	 -0.1700	 -0.0800
98	 -0.1000	 -0.0400
98 s	 0.0300	 0.0800
97	 -0.1600	 -0.0500
97 s	 -0.0500	 0.0500
96	 -0.1900	 -0.0800
96 s	 -0.0700	 0.0400
95	 -0.2100	 -0.1100
95 s	 -0.1200	 -0.0500
94	 -0.2200	 -0.1700
94 s	 -0.1800	 -0.1000
93	 -0.2400	 -0.1400
93 s	 -0.1600	 -0.1600
92	 -0.2300	 -0.1500
92 s	 -0.2000	 -0.1300
87	 -0.1300	 -0.0500
87 s	 0.0000	 0.0400
86	 -0.1800	 -0.0600
86 s	 0.0000	 0.0700
85	 -0.2100	 -0.1300
85 s	 -0.1300	 -0.1000
84	 -0.2200	 -0.1300
84 s	 -0.1700	 -0.0500
83	 -0.2300	 -0.1600
83 s	 -0.1900	 -0.1400
82	 -0.2300	 -0.1800
82 s	 -0.2200	 -0.1400
76	 -0.1700	 -0.0400
76 s	 -0.0300	 0.0400
75	 -0.2100	 -0.1000
75 s	 -0.1300	 0.0300
74	 -0.2300	 -0.1300
74 s	 -0.2000	 -0.0900
73	 -0.2400	 -0.1600
73 s	 -0.1700	 -0.0900
72	 -0.2400	 -0.1900
72 s	 -0.2400	 -0.1700
65	 -0.1900	 -0.0800
65 s	 -0.1300	 -0.0400
64	 -0.2000	 -0.1600
64 s	 -0.1200	 -0.0700
63	 -0.2300	 -0.1700
63 s	 -0.1500	 -0.0600
62	 -0.2300	 -0.1700
62 s	 -0.2200	 -0.1100
54	 -0.2200	 -0.1300
54 s	 -0.1200	 -0.0500
53	 -0.2300	 -0.1500
