AA	 1.9900	 1.9700	 1.9200	 2.1000
KK	 1.5200	 1.4900	 1.5500	 1.6700
QQ	 1.2000	 1.1400	 1.1800	 1.2400
JJ	 0.8900	 0.8700	 0.9200	 1.0400
TT	 0.6500	 0.6900	 0.7900	 0.8300
99	 0.4400	 0.4700	 0.5900	 0.6400
88	 0.2900	 0.2800	 0.3700	 0.5000
77	 0.1500	 0.1600	 0.3300	 0.3600
66	 0.0400	 0.0800	 0.1700	 0.1900
55	 0.0000	 -0.0300	 0.0900	 0.1300
44	 -0.0800	 -0.1000	 0.0600	 0.0400
33	 -0.1700	 -0.1700	 -0.0300	 0.0400
22	 -0.1700	 -0.1800	 -0.1200	 -0.0700
AK	 0.4500	 0.4700	 0.5600	 0.6100
AK s	 0.7000	 0.7200	 0.7400	 0.7600
AQ	 0.3100	 0.3400	 0.4100	 0.4500
AQ s	 0.5300	 0.4900	 0.5800	 0.8000
AJ	 0.2300	 0.2500	 0.2800	 0.3800
AJ s	 0.4000	 0.3900	 0.4000	 0.6000
AT	 0.1000	 0.1200	 0.1900	 0.3100
AT s	 0.2900	 0.2500	 0.3400	 0.5400
A9	 0.0000	 0.0100	 0.0700	 0.1500
A9 s	 0.1700	 0.1400	 0.2500	 0.3300
A8	 -0.0900	 0.0000	 0.0100	 0.0800
A8 s	 0.0500	 0.1200	 0.2600	 0.2000
A7	 -0.1100	 -0.0600	 -0.0200	 0.0600
A7 s	 0.0400	 0.0800	 0.1400	 0.1900
A6	 -0.1200	 -0.1500	 -0.0300	 0.0100
A6 s	 0.0100	 0.0700	 0.1000	 0.1900
A5	 -0.1300	 -0.0900	 -0.0500	 0.0200
A5 s	 0.0600	 0.0600	 0.2000	 0.1200
A4	 -0.1500	 -0.1600	 -0.0800	 -0.0500
A4 s	 0.0100	 0.0200	 0.1300	 0.1300
A3	 -0.1600	 -0.1800	 -0.0500	 -0.0600
A3 s	 0.0400	 -0.0100	 0.1300	 0.1200
A2	 -0.1900	 -0.1900	 -0.0800	 -0.0400
A2 s	 -0.0400	 -0.0400	 0.0600	 0.1200
KQ	 0.2300	 0.1400	 0.2600	 0.3300
KQ s	 0.2800	 0.3200	 0.4100	 0.5900
KJ	 0.0700	 0.0700	 0.1900	 0.2600
KJ s	 0.3100	 0.2600	 0.3500	 0.4000
KT	 -0.0100	 0.0600	 0.1100	 0.1400
KT s	 0.1700	 0.2100	 0.2900	 0.3900
K9	 -0.1000	 -0.0900	 0.0200	 0.0400
K9 s	 0.1100	 0.1200	 0.2200	 0.2700
