AA	 2.2000	 2.2600	 2.0900	 2.1800	 2.3600
KK	 1.7300	 1.7200	 1.6400	 1.6500	 1.7200
QQ	 1.3100	 1.3000	 1.2700	 1.3200	 1.4600
JJ	 0.9000	 0.9000	 0.9600	 0.9600	 1.0300
TT	 0.6000	 0.5800	 0.6800	 0.7700	 0.8100
99	 0.4000	 0.3900	 0.4600	 0.5300	 0.6200
88	 0.1700	 0.2600	 0.3200	 0.3900	 0.3800
77	 0.1800	 0.1500	 0.1700	 0.3000	 0.2800
66	 0.0100	 0.0300	 0.0900	 0.0900	 0.1600
55	 -0.0200	 0.0200	 0.0600	 0.0800	 0.0600
44	 -0.1200	 -0.0900	 -0.0300	 0.0000	 0.0700
33	 -0.1700	 -0.1300	 -0.1200	 0.0000	 -0.0100
22	 -0.1500	 -0.2000	 -0.1600	 -0.0900	 -0.0600
AK	 0.4300	 0.4900	 0.5200	 0.5900	 0.7000
AK s	 0.7000	 0.7200	 0.7100	 0.8700	 0.9300
AQ	 0.3200	 0.3200	 0.3600	 0.4000	 0.4600
AQ s	 0.5700	 0.4800	 0.6100	 0.7100	 0.7000
AJ	 0.1500	 0.1900	 0.2300	 0.3100	 0.3400
AJ s	 0.4200	 0.4400	 0.4900	 0.6400	 0.5500
AT	 0.1200	 0.1000	 0.1400	 0.1900	 0.2500
AT s	 0.2900	 0.2900	 0.3400	 0.4900	 0.4700
A9	 -0.0700	 -0.0800	 -0.0100	 0.0500	 0.0700
A9 s	 0.1200	 0.1300	 0.2800	 0.2700	 0.3800
A8	 -0.1000	 -0.1100	 -0.0500	 -0.0400	 0.0200
A8 s	 0.0700	 0.1100	 0.1700	 0.1800	 0.2000
A7	 -0.1400	 -0.1400	 -0.0900	 -0.0600	 -0.0400
A7 s	 -0.0100	 0.0500	 0.1400	 0.1700	 0.1300
A6	 -0.1800	 -0.1800	 -0.1400	 -0.0900	 -0.0400
A6 s	 -0.0400	 -0.0200	 0.0500	 0.0800	 0.2000
A5	 -0.1600	 -0.1700	 -0.1000	 -0.0800	 -0.0300
A5 s	 0.0900	 -0.0200	 0.0700	 0.1100	 0.1800
A4	 -0.2000	 -0.2000	 -0.1200	 -0.0900	 -0.0700
A4 s	 0.0000	 -0.0100	 0.0800	 0.1000	 0.1500
A3	 -0.1900	 -0.2200	 -0.1300	 -0.1000	 -0.0500
A3 s	 0.0000	 -0.0600	 0.0300	 0.0600	 0.0900
A2	 -0.2000	 -0.2600	 -0.1400	 -0.1000	 -0.1200
A2 s	 -0.0500	 -0.0400	 -0.0200	 0.0300	 0.0700
KQ	 0.1600	 0.1500	 0.2100	 0.2500	 0.2700
KQ s	 0.3200	 0.3000	 0.4400	 0.4500	 0.5200
KJ	 0.0300	 0.0500	 0.1300	 0.1600	 0.2000
KJ s	 0.3000	 0.2800	 0.3300	 0.3800	 0.4100
KT	 -0.0100	 -0.0300	 0.0600	 0.0600	 0.1300
KT s	 0.2200	 0.2000	 0.2900	 0.2200	 0.2800
K9	 -0.1400	 -0.1100	 -0.0500	 -0.0100	 -0.0100
K9 s	 0.0600	 0.1100	 0.1000	 0.1500	 0.2300
K8	 -0.1600	 -0.1900	 -0.0800	 -0.0400	 -0.0600
K8 s	 -0.0700	 -0.0600	 0.0600	 0.0800	 0.0900
K7	 -0.2100	 -0.2100	 -0.0800	 -0.0700	 -0.0400
K7 s	 -0.0700	 0.0100	 0.0300	 0.0600	 0.1000
K6	 -0.2200	 -0.2500	 -0.1100	 -0.0700	 -0.0500
K6 s	 -0.1400	 -0.0900	 -0.0200	 -0.0100	 0.0300
K5	 -0.2500	 -0.2600	 -0.0900	 -0.0700	 -0.0700
K5 s	 -0.1600	 -0.1400	 0.0100	 -0.0500	 -0.0200
K4	 -0.2500	 -0.2800	 -0.1000	 -0.0600	 -0.0500
K4 s	 -0.1200	 -0.1100	 -0.0400	 -0.0300	 0.0100
K3	 -0.2600	 -0.2900	 -0.1000	 -0.1000	 -0.0500
K3 s	 -0.1700	 -0.1300	 -0.0500	 -0.0400	 -0.0500
K2	 -0.2600	 -0.3000	 -0.1100	 -0.0800	 -0.0700
K2 s	 -0.1700	 -0.1100	 -0.0300	 -0.0500	 0.0400
QJ	 -0.0100	 0.0300	 0.1100	 0.1400	 0.1700
QJ s	 0.3100	 0.1500	 0.2700	 0.3400	 0.3500
QT	 -0.0400	 -0.0400	 0.0300	 0.0700	 0.0600
QT s	 0.1100	 0.1600	 0.2500	 0.2700	 0.3000
Q9	 -0.1500	 -0.1800	 -0.0600	 -0.0300	 -0.0400
Q9 s	 0.0600	 0.0100	 0.1200	 0.1100	 0.1900
Q8	 -0.1900	 -0.2300	 -0.0800	 -0.0800	 -0.0500
Q8 s	 -0.0900	 -0.1000	 0.0300	 -0.0200	 0.0200
Q7	 -0.2400	 -0.2900	 -0.0900	 -0.0700	 -0.0600
Q7 s	 -0.1200	 -0.1100	 0.0000	 0.0000	 -0.0200
Q6	 -0.2600	 -0.2800	 -0.0700	 -0.0500	 -0.0500
Q6 s	 -0.1700	 -0.1300	 -0.0800	 -0.0500	 -0.0200
Q5	 -0.2500	 -0.2900	 -0.0900	 -0.0500	 -0.0600
Q5 s	 -0.1600	 -0.1900	 -0.0800	 -0.0200	 -0.0200
Q4	 -0.2300	 -0.3200	 -0.0700	 -0.0500	 -0.0600
Q4 s	 -0.1900	 -0.1700	 -0.1000	 -0.0600	 -0.0200
Q3	 -0.2800	 -0.3000	 -0.0700	 -0.0400	 -0.0500
Q3 s	 -0.1700	 -0.1700	 -0.1100	 -0.0700	 -0.0300
Q2	 -0.2600	 -0.3300	 -0.0700	 -0.0500	 -0.0500
Q2 s	 -0.1700	 -0.2200	 -0.1200	 -0.0600	 -0.0800
JT	 -0.0700	 -0.0800	 -0.0300	 0.0600	 0.0800
JT s	 0.1300	 0.1200	 0.2100	 0.3100	 0.2500
J9	 -0.1700	 -0.1500	 -0.0500	 -0.0300	 -0.0100
J9 s	 0.0100	 0.0100	 0.1300	 0.1100	 0.1500
J8	 -0.1700	 -0.2300	 -0.0700	 -0.0500	 -0.0400
J8 s	 -0.0700	 -0.0900	 0.0100	 0.0300	 0.0300
J7	 -0.2400	 -0.3000	 -0.0600	 -0.0700	 -0.0400
J7 s	 -0.1300	 -0.1600	 -0.0400	 -0.0400	 -0.0200
J6	 -0.2400	 -0.3000	 -0.0600	 -0.0500	 -0.0400
J6 s	 -0.1500	 -0.2000	 -0.1000	 -0.0900	 -0.0800
J5	 -0.2600	 -0.3300	 -0.0600	 -0.0400	 -0.0400
J5 s	 -0.2200	 -0.2200	 -0.0700	 -0.0800	 -0.0700
J4	 -0.2700	 -0.3300	 -0.0500	 -0.0500	 -0.0400
J4 s	 -0.2000	 -0.2400	 -0.0900	 -0.0100	 -0.0300
J3	 -0.2600	 -0.3500	 -0.0500	 -0.0300	 -0.0400
J3 s	 -0.2400	 -0.2000	 -0.1200	 -0.1000	 -0.0400
J2	 -0.2600	 -0.3300	 -0.0600	 -0.0300	 -0.0200
J2 s	 -0.2400	 -0.2300	 -0.1100	 -0.0700	 -0.0700
T9	 -0.1400	 -0.1500	 -0.0700	 -0.0100	 0.0100
T9 s	 -0.0100	 -0.0100	 0.1200	 0.1400	 0.1500
T8	 -0.2000	 -0.2100	 -0.0600	 -0.0400	 -0.0100
T8 s	 -0.0900	 -0.0900	 0.0400	 0.0800	 0.0700
T7	 -0.2200	 -0.2500	 -0.0500	 -0.0400	 -0.0300
T7 s	 -0.1200	 -0.1600	 -0.0600	 0.0200	 0.0400
T6	 -0.2300	 -0.2800	 -0.0500	 -0.0200	 -0.0200
T6 s	 -0.1700	 -0.1900	 -0.0600	 -0.0800	 -0.0300
T5	 -0.2400	 -0.3300	 -0.0400	 -0.0300	 -0.0200
T5 s	 -0.1800	 -0.2400	 -0.1100	 -0.0900	 -0.0300
T4	 -0.2500	 -0.3500	 -0.0500	 -0.0200	 -0.0200
T4 s	 -0.2200	 -0.2400	 -0.0700	 -0.0600	 -0.0800
T3	 -0.2600	 -0.3400	 -0.0500	 -0.0200	 -0.0200
T3 s	 -0.2300	 -0.2300	 -0.0900	 -0.0800	 -0.0600
T2	 -0.2500	 -0.3500	 -0.0400	 -0.0300	 -0.0200
T2 s	 -0.2400	 -0.2600	 -0.1100	 -0.1100	 -0.0700
98	 -0.1900	 -0.2100	 -0.0800	 -0.0500	 -0.0300
98 s	 -0.0500	 -0.0500	 -0.0300	 0.1100	 0.0600
97	 -0.2000	 -0.2700	 -0.0700	 -0.0400	 -0.0400
97 s	 -0.1700	 -0.0900	 -0.0700	 -0.0300	 0.0200
96	 -0.2600	 -0.3100	 -0.0500	 -0.0300	 -0.0300
96 s	 -0.1200	 -0.1900	 -0.0400	 -0.0700	 -0.0300
95	 -0.2600	 -0.3200	 -0.0400	 -0.0200	 -0.0200
95 s	 -0.2000	 -0.2300	 -0.1100	 -0.1000	 -0.0200
94	 -0.2500	 -0.3400	 -0.0400	 -0.0200	 -0.0200
94 s	 -0.2500	 -0.2900	 -0.1200	 -0.0800	 -0.0900
93	 -0.2600	 -0.3500	 -0.0400	 -0.0200	 -0.0200
93 s	 -0.2800	 -0.2400	 -0.1200	 -0.0700	 -0.0900
92	 -0.2500	 -0.3600	 -0.0400	 -0.0200	 -0.0100
92 s	 -0.2500	 -0.3100	 -0.1200	 -0.1100	 -0.0300
87	 -0.2200	 -0.2700	 -0.1000	 -0.0700	 -0.0300
87 s	 -0.0300	 -0.0900	 0.0600	 0.0200	 0.0000
86	 -0.2400	 -0.2700	 -0.0600	 -0.0400	 -0.0300
86 s	 -0.1500	 -0.1300	 -0.0500	 -0.0100	 0.0100
