AA	 2.7000	 2.2800	 2.3100	 2.3100	 2.2000	 2.4700	 2.5300	 2.6000
KK	 1.7400	 1.5300	 1.8400	 1.5400	 1.7300	 1.6700	 1.8000	 1.7800
QQ	 1.1300	 1.1600	 1.0900	 1.1600	 1.3200	 1.1900	 1.5100	 1.3300
JJ	 0.7800	 0.7900	 0.7800	 0.8900	 0.7500	 0.9400	 0.9300	 0.7400
TT	 0.4400	 0.5100	 0.4500	 0.4000	 0.6200	 0.5600	 0.6000	 0.6200
99	 0.3000	 0.2300	 0.2900	 0.3700	 0.2800	 0.3800	 0.2000	 0.4100
88	 0.0700	 0.1400	 0.1200	 0.1500	 0.1900	 0.2500	 0.2400	 0.2700
77	 0.0300	 -0.0300	 0.0500	 0.2400	 0.0600	 0.1300	 0.2400	 0.2900
66	 -0.0500	 -0.0500	 0.0700	 0.0300	 0.0200	 0.0800	 0.0900	 0.1400
55	 0.0200	 -0.2100	 -0.0500	 -0.1500	 0.0100	 0.0400	 0.0100	 0.0900
44	 -0.0900	 -0.0800	 -0.1000	 -0.1400	 -0.1200	 -0.0400	 -0.0100	 -0.0500
33	 -0.1500	 -0.2500	 -0.0600	 -0.0900	 0.0200	 -0.0700	 -0.0400	 -0.0700
22	 -0.0800	 -0.1600	 -0.1500	 -0.0400	 -0.0200	 0.1100	 0.0300	 0.0200
AK	 0.5300	 0.3700	 0.4300	 0.4600	 0.5100	 0.6300	 0.6400	 0.6100
AK s	 0.6300	 0.8400	 0.9100	 0.8100	 0.7600	 0.7500	 0.8100	 0.9600
AQ	 0.1700	 0.2200	 0.2200	 0.2700	 0.2600	 0.2800	 0.4500	 0.3100
AQ s	 0.4600	 0.5300	 0.4700	 0.4600	 0.6800	 0.7600	 0.5800	 0.7500
AJ	 0.0900	 0.0700	 0.0700	 0.1200	 0.1400	 0.1900	 0.1700	 0.1700
AJ s	 0.3300	 0.4100	 0.3600	 0.2400	 0.4500	 0.4500	 0.4500	 0.5200
AT	 -0.0800	 -0.0500	 -0.0300	 0.0700	 0.0800	 0.0500	 0.0700	 0.0800
AT s	 0.1600	 0.1500	 0.2600	 0.3000	 0.3600	 0.3200	 0.3800	 0.3200
A9	 -0.1700	 -0.1200	 -0.0700	 -0.0300	 -0.0400	 -0.0500	 -0.0600	 -0.0100
A9 s	 0.0400	 0.1100	 0.2100	 0.1500	 0.2400	 0.2400	 0.1200	 0.1900
A8	 -0.2200	 -0.2400	 -0.0500	 -0.1100	 -0.0800	 -0.1000	 -0.0900	 0.0200
A8 s	 0.0100	 -0.0500	 0.0300	 0.1200	 0.1500	 0.1800	 0.1400	 0.0200
A7	 -0.2200	 -0.2700	 -0.1000	 -0.0900	 -0.0900	 -0.0700	 -0.1200	 -0.0100
A7 s	 0.0300	 -0.0800	 0.0000	 -0.0300	 0.0700	 0.1100	 0.0200	 -0.0200
A6	 -0.2200	 -0.2300	 -0.1300	 -0.1300	 -0.1500	 -0.1600	 -0.0900	 -0.1100
A6 s	 -0.1400	 -0.1000	 -0.0400	 0.0500	 -0.1000	 -0.0100	 0.0900	 0.1200
A5	 -0.2300	 -0.2500	 -0.1300	 -0.1000	 -0.0900	 -0.1300	 -0.1100	 -0.1000
A5 s	 0.0200	 0.0100	 -0.0500	 -0.0100	 0.1400	 0.0800	 0.1100	 0.1800
A4	 -0.2400	 -0.2600	 -0.1500	 -0.0700	 -0.0900	 -0.1200	 -0.0900	 -0.0800
A4 s	 0.1400	 0.0900	 0.0100	 0.0300	 0.0200	 0.0700	 0.0400	 0.0800
A3	 -0.2700	 -0.2000	 -0.1000	 -0.1200	 -0.1500	 -0.0900	 -0.1000	 -0.1100
A3 s	 -0.0600	 -0.1200	 0.0600	 0.0000	 -0.0100	 -0.0300	 -0.0800	 0.0100
A2	 -0.2700	 -0.3100	 -0.1600	 -0.1000	 -0.1400	 -0.0900	 -0.1400	 -0.1200
A2 s	 -0.0500	 -0.0200	 0.0000	 0.0000	 0.0700	 0.0500	 0.0200	 0.1100
KQ	 0.0700	 0.0600	 0.0600	 0.1000	 0.1300	 0.1300	 0.1600	 0.2100
KQ s	 0.4100	 0.2900	 0.3800	 0.3100	 0.2800	 0.3700	 0.4000	 0.4600
KJ	 -0.0400	 -0.0800	 -0.0300	 0.0400	 0.1000	 0.0900	 0.1100	 0.2100
KJ s	 0.3100	 0.1300	 0.1500	 0.2700	 0.4200	 0.3600	 0.4000	 0.4300
KT	 -0.0900	 -0.2200	 -0.0800	 -0.0400	 -0.0200	 0.0400	 -0.0100	 0.0100
KT s	 0.0700	 0.1900	 0.2400	 0.2200	 0.2300	 0.2100	 0.2300	 0.2900
K9	 -0.1600	 -0.2500	 -0.1000	 -0.1000	 -0.0500	 -0.0500	 -0.0800	 -0.0300
K9 s	 0.0500	 -0.0100	 0.0600	 -0.0400	 0.0000	 0.0900	 0.1900	 0.1200
K8	 -0.2300	 -0.2600	 -0.1100	 -0.0800	 -0.0700	 -0.0700	 -0.0700	 -0.0800
K8 s	 -0.0900	 0.0000	 0.0100	 0.0700	 0.0200	 0.0000	 0.0700	 0.0800
K7	 -0.2300	 -0.2700	 -0.1000	 -0.0900	 -0.0600	 0.0200	 -0.0500	 -0.0900
K7 s	 -0.1100	 -0.1700	 -0.0400	 -0.0700	 0.0800	 -0.0200	 0.0300	 0.1100
K6	 -0.2200	 -0.2900	 -0.0700	 -0.0700	 -0.0600	 -0.0600	 -0.0700	 -0.0400
K6 s	 -0.0700	 -0.2200	 -0.0600	 -0.1000	 -0.0300	 -0.0700	 -0.0700	 0.1000
K5	 -0.2900	 -0.2800	 -0.1000	 -0.0900	 -0.0600	 -0.0700	 -0.0600	 -0.0300
K5 s	 -0.2400	 -0.1500	 -0.0700	 0.0200	 -0.0800	 -0.0100	 -0.0400	 -0.0500
K4	 -0.2700	 -0.3000	 -0.1400	 -0.0700	 -0.0800	 -0.0700	 -0.0500	 -0.0600
K4 s	 -0.2200	 0.0900	 -0.1000	 -0.0100	 -0.0800	 -0.0200	 -0.0100	 0.1000
K3	 -0.2500	 -0.3500	 -0.1200	 -0.0300	 -0.0800	 -0.0500	 -0.0800	 -0.0300
K3 s	 -0.0600	 -0.2300	 -0.1000	 -0.0700	 -0.1300	 -0.0900	 -0.0400	 -0.0900
K2	 -0.3000	 -0.3200	 -0.1200	 -0.0700	 -0.0500	 -0.0700	 -0.0400	 -0.0600
K2 s	 -0.1700	 -0.3300	 -0.1200	 -0.1200	 -0.0200	 0.0000	 0.0200	 -0.1100
QJ	 -0.1000	 -0.0700	 -0.0200	 0.0600	 0.0300	 0.1200	 0.1800	 0.0200
QJ s	 0.1200	 0.1600	 0.2000	 0.1800	 0.3000	 0.2900	 0.2500	 0.1100
QT	 -0.1500	 -0.0900	 -0.0600	 -0.0800	 -0.0400	 0.0200	 -0.0300	 0.0100
QT s	 0.0100	 -0.0300	 0.1100	 0.0900	 0.1200	 0.2100	 0.2600	 0.3100
Q9	 -0.2200	 -0.2400	 -0.1000	 -0.0200	 -0.0400	 -0.0400	 -0.0600	 -0.0700
Q9 s	 0.0800	 -0.0100	 -0.0200	 -0.0600	 0.0000	 0.0800	 0.0900	 0.2300
Q8	 -0.2400	 -0.2900	 -0.1200	 -0.0500	 -0.0800	 -0.0700	 -0.0800	 -0.0500
Q8 s	 -0.1500	 -0.1100	 -0.0900	 -0.0200	 0.0100	 -0.0300	 -0.0600	 -0.1400
Q7	 -0.2600	 -0.3000	 -0.0700	 -0.0600	 -0.0800	 -0.0600	 -0.0500	 -0.0300
Q7 s	 -0.2200	 -0.1700	 -0.0900	 -0.1100	 -0.0700	 -0.0500	 -0.1100	 0.0000
Q6	 -0.2900	 -0.3400	 -0.1200	 -0.0600	 -0.0500	 -0.0600	 -0.0600	 -0.0400
Q6 s	 -0.1800	 -0.1700	 -0.0800	 -0.0500	 -0.1000	 0.0000	 -0.0900	 -0.0700
Q5	 -0.2900	 -0.3400	 -0.0900	 -0.0600	 -0.0600	 -0.0500	 -0.0400	 -0.0400
Q5 s	 -0.2500	 -0.2500	 -0.1200	 -0.1100	 -0.1500	 -0.0700	 -0.0200	 0.0000
Q4	 -0.2800	 -0.3300	 -0.1000	 -0.0700	 -0.0600	 -0.0400	 -0.0100	 -0.0500
Q4 s	 -0.1600	 -0.2200	 -0.1000	 -0.0900	 -0.0300	 -0.1000	 -0.0700	 -0.0600
Q3	 -0.2800	 -0.3400	 -0.0900	 -0.0500	 -0.0400	 -0.0400	 -0.0300	 -0.0400
Q3 s	 -0.2600	 -0.2200	 -0.1300	 -0.1200	 -0.0500	 -0.1400	 -0.0400	 -0.0800
Q2	 -0.2500	 -0.3300	 -0.1000	 -0.0500	 -0.0500	 0.0000	 -0.0500	 -0.0300
Q2 s	 -0.1700	 -0.2700	 -0.0800	 -0.1000	 -0.1200	 -0.0400	 -0.2500	 0.0100
JT	 -0.1100	 -0.2000	 -0.0800	 -0.0500	 -0.0600	 0.0100	 -0.0500	 0.0300
JT s	 0.0700	 0.0000	 0.0300	 0.1500	 0.0700	 0.2300	 0.1700	 0.2500
J9	 -0.2100	 -0.2800	 -0.1000	 -0.0500	 -0.0700	 -0.0800	 -0.0500	 0.0400
J9 s	 -0.1000	 -0.0800	 0.0000	 0.0000	 0.1800	 0.0100	 0.1700	 0.0900
J8	 -0.2600	 -0.2900	 -0.0800	 -0.1000	 -0.0600	 -0.0400	 -0.0600	 -0.0800
J8 s	 -0.1800	 -0.0600	 0.0500	 0.0000	 -0.0200	 -0.0300	 0.0500	 0.0100
J7	 -0.2500	 -0.2600	 -0.0800	 -0.0600	 -0.0400	 -0.0600	 -0.0400	 -0.0500
J7 s	 -0.0800	 -0.2500	 -0.1300	 0.1100	 -0.1300	 -0.0200	 -0.0700	 0.0700
J6	 -0.2700	 -0.3500	 -0.1100	 -0.0500	 -0.0400	 -0.0400	 -0.0500	 -0.0200
J6 s	 -0.1100	 -0.3000	 -0.0700	 0.0000	 -0.1000	 -0.1500	 -0.0700	 -0.0800
J5	 -0.3000	 -0.3400	 -0.0800	 -0.0500	 -0.0300	 -0.0400	 -0.0600	 -0.0400
J5 s	 -0.2400	 -0.3300	 -0.1200	 -0.0200	 -0.0900	 0.0200	 -0.0300	 -0.0800
J4	 -0.2700	 -0.3500	 -0.0800	 -0.0500	 -0.0400	 -0.0300	 -0.0100	 -0.0200
J4 s	 -0.2000	 -0.1000	 -0.1500	 -0.0600	 -0.0700	 0.0700	 -0.0300	 -0.0600
J3	 -0.3000	 -0.3800	 -0.0800	 -0.0400	 -0.0400	 -0.0400	 -0.0300	 -0.0400
J3 s	 -0.2200	 -0.2300	 -0.1600	 -0.0900	 -0.0500	 -0.0900	 -0.0900	 -0.1700
J2	 -0.2900	 -0.3900	 -0.0900	 -0.0500	 -0.0300	 -0.0600	 -0.0100	 -0.0300
J2 s	 -0.2800	 -0.3100	 -0.1000	 -0.1400	 -0.1100	 -0.0500	 -0.0700	 -0.0800
T9	 -0.1300	 -0.2800	 -0.1100	 -0.0900	 -0.0600	 0.0100	 0.0200	 -0.0300
T9 s	 -0.0100	 -0.0900	 -0.0100	 -0.1000	 0.0600	 0.0900	 0.0100	 0.1200
T8	 -0.2600	 -0.2800	 -0.1000	 -0.0100	 0.0000	 -0.0300	 -0.0400	 -0.0300
T8 s	 -0.1300	 -0.1100	 -0.0600	 -0.0700	 0.0500	 0.1100	 0.0000	 0.0500
T7	 -0.2300	 -0.2800	 -0.0900	 -0.0300	 -0.0300	 -0.0300	 0.0200	 -0.0100
T7 s	 -0.1800	 -0.1500	 -0.0300	 -0.0900	 -0.0300	 -0.0200	 0.0600	 0.0100
T6	 -0.2400	 -0.3400	 -0.0600	 -0.0500	 -0.0300	 -0.0200	 -0.0200	 0.0200
T6 s	 -0.1400	 -0.2600	 -0.1400	 -0.0100	 -0.0100	 0.0000	 -0.0300	 -0.0900
T5	 -0.2700	 -0.3500	 -0.0800	 -0.0300	 -0.0300	 -0.0200	 -0.0300	 -0.0300
T5 s	 -0.1800	 -0.2500	 -0.0900	 -0.0400	 -0.0600	 -0.1000	 -0.0700	 -0.0400
T4	 -0.2800	 -0.3700	 -0.0800	 -0.0200	 -0.0300	 -0.0200	 -0.0200	 -0.0200
T4 s	 -0.2300	 -0.2200	 -0.1400	 -0.1100	 -0.0800	 -0.0700	 -0.0700	 -0.0700
T3	 -0.2500	 -0.3600	 -0.0800	 -0.0200	 -0.0300	 -0.0200	 -0.0200	 -0.0200
T3 s	 -0.2600	 -0.3000	 -0.1000	 -0.0700	 -0.1200	 -0.0700	 -0.0700	 -0.0200
T2	 -0.2900	 -0.3700	 -0.0600	 -0.0200	 -0.0200	 -0.0200	 0.0000	 -0.0200
T2 s	 -0.3100	 -0.3200	 -0.1000	 -0.0500	 -0.0600	 -0.0700	 -0.0600	 -0.0800
98	 -0.1700	 -0.3000	 -0.0900	 -0.0500	 -0.0600	 -0.0600	 -0.0400	 -0.0300
98 s	 -0.1100	 -0.0100	 0.0600	 0.0500	 0.0000	 0.0300	 -0.0800	 0.0000
97	 -0.1600	 -0.2700	 -0.0900	 -0.0400	 -0.0200	 -0.0400	 -0.0500	 -0.0400
97 s	 -0.1300	 -0.0800	 -0.0100	 -0.0900	 -0.0600	 -0.0100	 0.0100	 -0.0900
96	 -0.3000	 -0.3400	 -0.0700	 -0.0400	 -0.0200	 -0.0300	 0.0100	 -0.0500
96 s	 -0.2700	 -0.2200	 -0.0300	 -0.1300	 -0.1400	 -0.0500	 -0.0300	 -0.0200
95	 -0.2700	 -0.3800	 -0.0800	 -0.0300	 0.0000	 -0.0200	 -0.0100	 -0.0200
95 s	 -0.2300	 -0.2600	 -0.1100	 -0.0400	 -0.0900	 -0.1100	 -0.0100	 -0.0300
94	 -0.2800	 -0.3600	 -0.0800	 -0.0200	 -0.0100	 -0.0100	 0.0100	 -0.0200
94 s	 -0.2400	 -0.3000	 -0.0500	 -0.1200	 -0.0200	 -0.0900	 -0.1300	 -0.0400
93	 -0.2700	 -0.3800	 -0.0700	 -0.0300	 -0.0300	 -0.0200	 0.0000	 -0.0100
93 s	 -0.2000	 -0.3200	 -0.1900	 -0.0600	 -0.0300	 -0.0600	 -0.0900	 -0.0800
92	 -0.2600	 -0.4000	 -0.0700	 -0.0200	 -0.0200	 -0.0200	 -0.0100	 -0.0200
92 s	 -0.2800	 -0.3100	 -0.0700	 -0.0500	 -0.0700	 -0.0500	 -0.0800	 -0.0900
87	 -0.2200	 -0.2600	 -0.1100	 -0.0600	 -0.0700	 -0.0500	 -0.0700	 -0.0400
87 s	 -0.0700	 -0.1100	 -0.0500	 -0.0400	 0.0000	 -0.0200	 -0.0500	 0.0200
