AA	 2.6500	 2.6700	 2.3500	 2.5500	 2.4800	 2.5400	 2.6400	 2.7300	 2.8100
KK	 1.6900	 1.6200	 1.7000	 1.6600	 1.7300	 1.7500	 1.9600	 1.9500	 2.0600
QQ	 0.9900	 1.1400	 1.2700	 1.1300	 1.2000	 1.2400	 1.3300	 1.2600	 1.3600
JJ	 0.6700	 0.6500	 0.7200	 0.7600	 0.8700	 0.8000	 0.8100	 0.9700	 0.9100
TT	 0.4100	 0.3700	 0.3800	 0.5500	 0.5000	 0.4600	 0.6500	 0.6200	 0.6000
99	 0.1900	 0.1900	 0.3200	 0.3100	 0.2300	 0.3400	 0.3300	 0.3300	 0.3100
88	 -0.0700	 0.1500	 0.1700	 0.1700	 0.2000	 0.2400	 0.2000	 0.2500	 0.1800
77	 0.0100	 0.0400	 0.0000	 0.1900	 0.0300	 0.0500	 0.0300	 0.1600	 0.1600
66	 -0.0700	 -0.0400	 0.0200	 0.0800	 0.0200	 0.0400	 0.0700	 0.0800	 0.0300
55	 -0.1100	 0.0100	 0.0600	 0.1700	 -0.0300	 0.0100	 0.0600	 0.0000	 -0.0200
44	 -0.0400	 -0.2000	 -0.0100	 -0.0800	 -0.0700	 -0.0300	 0.0000	 0.0400	 -0.0800
33	 -0.1900	 -0.1400	 -0.0800	 -0.0600	 -0.0200	 -0.0900	 0.0100	 -0.0200	 0.0000
22	 -0.1100	 -0.1000	 -0.1400	 -0.0500	 -0.1600	 -0.0100	 -0.0400	 -0.0300	 -0.0800
AK	 0.3800	 0.4300	 0.4400	 0.4400	 0.4900	 0.5500	 0.5800	 0.6000	 0.6100
AK s	 0.8100	 0.6500	 0.6500	 0.7700	 0.7700	 0.9100	 1.0200	 0.8000	 0.8500
AQ	 0.1800	 0.2100	 0.2600	 0.2800	 0.3000	 0.3400	 0.3400	 0.3500	 0.3500
AQ s	 0.5100	 0.4500	 0.6700	 0.6100	 0.6300	 0.7100	 0.6200	 0.6100	 0.7100
AJ	 0.0500	 0.0000	 0.0800	 0.0800	 0.1700	 0.1800	 0.2000	 0.2500	 0.2900
AJ s	 0.4200	 0.4100	 0.2700	 0.3200	 0.3800	 0.3400	 0.3500	 0.4600	 0.5100
AT	 -0.0400	 -0.0800	 -0.0300	 0.0200	 0.0300	 0.0200	 0.0400	 0.0300	 0.1000
AT s	 0.2800	 0.1200	 0.2300	 0.2700	 0.3100	 0.3500	 0.2300	 0.4700	 0.4500
A9	 -0.1700	 -0.2100	 0.0000	 -0.0300	 -0.1000	 -0.1000	 0.0200	 -0.0800	 -0.0500
A9 s	 0.1000	 0.0100	 0.0900	 0.0900	 0.0800	 0.1000	 0.2000	 0.4300	 0.1500
A8	 -0.2000	 -0.2300	 -0.0900	 -0.1600	 -0.0900	 -0.1000	 -0.1100	 0.0100	 -0.0400
